Date,Stock,Close,Volume
2019-09-12,AMZN,1843.550049,2823500
2019-09-13,AMZN,1839.339966,1971300
2019-09-16,AMZN,1807.839966,3675500
2019-09-17,AMZN,1822.550049,1982400
2019-09-18,AMZN,1817.459961,2505600
2019-09-19,AMZN,1821.5,2031500
2019-09-20,AMZN,1794.160034,5341900
2019-09-23,AMZN,1785.300049,2922300
2019-09-24,AMZN,1741.609985,4616000
2019-09-25,AMZN,1768.329956,3493200
2019-09-26,AMZN,1739.839966,3536800
2019-09-27,AMZN,1725.449951,3907200
2019-09-30,AMZN,1735.910034,2644700
2019-10-01,AMZN,1735.650024,3084500
2019-10-02,AMZN,1713.22998,3301100
2019-10-03,AMZN,1724.420044,3468200
2019-10-04,AMZN,1739.650024,2471900
2019-10-07,AMZN,1732.660034,2154700
2019-10-08,AMZN,1705.51001,2542000
2019-10-09,AMZN,1721.98999,2043500
2019-10-10,AMZN,1720.26001,2575200
2019-10-11,AMZN,1731.920044,3255000
2019-10-14,AMZN,1736.430054,1910200
2019-10-15,AMZN,1767.380005,3111700
2019-10-16,AMZN,1777.430054,2763400
2019-10-17,AMZN,1787.47998,2647400
2019-10-18,AMZN,1757.51001,3362500
2019-10-21,AMZN,1785.660034,2130400
2019-10-22,AMZN,1765.72998,2111700
2019-10-23,AMZN,1762.170044,2138200
2019-10-24,AMZN,1780.780029,4446100
2019-10-25,AMZN,1761.329956,9626400
2019-10-28,AMZN,1777.079956,3708900
2019-10-29,AMZN,1762.709961,2276900
2019-10-30,AMZN,1779.98999,2449400
2019-10-31,AMZN,1776.660034,2781200
2019-11-01,AMZN,1791.439941,2790400
2019-11-04,AMZN,1804.660034,2771900
2019-11-05,AMZN,1801.709961,1885500
2019-11-06,AMZN,1795.77002,2029800
2019-11-07,AMZN,1788.199951,2651100
2019-11-08,AMZN,1785.880005,2123300
2019-11-11,AMZN,1771.650024,1946000
2019-11-12,AMZN,1778,2037600
2019-11-13,AMZN,1753.109985,2989500
2019-11-14,AMZN,1754.599976,2264800
2019-11-15,AMZN,1739.48999,3927600
2019-11-18,AMZN,1752.530029,2839500
2019-11-19,AMZN,1752.790039,2270800
2019-11-20,AMZN,1745.530029,2790000
2019-11-21,AMZN,1734.709961,2662900
2019-11-22,AMZN,1745.719971,2479100
2019-11-25,AMZN,1773.839966,3486200
2019-11-26,AMZN,1796.939941,3181200
2019-11-27,AMZN,1818.51001,3025600
2019-11-29,AMZN,1800.800049,1923400
2019-12-02,AMZN,1781.599976,3925600
2019-12-03,AMZN,1769.959961,3380900
2019-12-04,AMZN,1760.689941,2670100
2019-12-05,AMZN,1740.47998,2823800
2019-12-06,AMZN,1751.599976,3117400
2019-12-09,AMZN,1749.51001,2442800
2019-12-10,AMZN,1739.209961,2514300
2019-12-11,AMZN,1748.719971,2097600
2019-12-12,AMZN,1760.329956,3095900
2019-12-13,AMZN,1760.939941,2745700
2019-12-16,AMZN,1769.209961,3145200
2019-12-17,AMZN,1790.660034,3644400
2019-12-18,AMZN,1784.030029,3351400
2019-12-19,AMZN,1792.280029,2652800
2019-12-20,AMZN,1786.5,5150800
2019-12-23,AMZN,1793,2136400
2019-12-24,AMZN,1789.209961,881300
2019-12-26,AMZN,1868.77002,6005400
2019-12-27,AMZN,1869.800049,6186600
2019-12-30,AMZN,1846.890015,3674700
2019-12-31,AMZN,1847.839966,2506500
2019-01-02,INTC,45.70895004,18774600
2019-01-03,INTC,43.19437408,32267300
2019-01-04,INTC,45.84486771,35447300
2019-01-07,INTC,46.05846024,22736800
2019-01-08,INTC,46.34972382,22749200
2019-01-09,INTC,46.61185837,22554500
2019-01-10,INTC,47.14584732,27202600
2019-01-11,INTC,47.50506973,21751300
2019-01-14,INTC,46.94195938,19193900
2019-01-15,INTC,47.18467712,22480800
2019-01-16,INTC,46.72836685,19057700
2019-01-17,INTC,47.05846405,17448700
2019-01-18,INTC,47.75749588,29874600
2019-01-22,INTC,46.86428833,25940700
2019-01-23,INTC,46.54389572,18960700
2019-01-24,INTC,48.31089401,50578300
2019-01-25,INTC,45.67011261,86455700
2019-01-28,INTC,45.34971237,35928700
2019-01-29,INTC,45.18466949,20988300
2019-01-30,INTC,46.15555191,26931700
2019-01-31,INTC,45.74777985,43051300
2019-02-01,INTC,47.31089401,37442900
2019-02-04,INTC,47.78662491,20905000
2019-02-05,INTC,48.55361938,31641600
2019-02-06,INTC,48.75390625,21647800
2019-02-07,INTC,48.09929276,27825900
2019-02-08,INTC,47.71825409,18851200
2019-02-11,INTC,47.6498642,18004100
2019-02-12,INTC,48.86138153,18050100
2019-02-13,INTC,49.31081772,17712800
2019-02-14,INTC,49.64300537,17545400
2019-02-15,INTC,50.47348022,22520400
2019-02-19,INTC,50.21945572,15611800
2019-02-20,INTC,50.20968628,21607700
2019-02-21,INTC,50.22922897,16162100
2019-02-22,INTC,51.28442383,31934100
2019-02-25,INTC,51.88041306,20711800
2019-02-26,INTC,52.00742722,16082200
2019-02-27,INTC,52.01719666,17590300
2019-02-28,INTC,51.74362183,18388800
2019-03-01,INTC,52.07581711,18359300
2019-03-04,INTC,52.70111465,21706100
2019-03-05,INTC,52.44709015,21057700
2019-03-06,INTC,51.7338562,14740500
2019-03-07,INTC,51.39189529,17803000
2019-03-08,INTC,51.27465057,16793900
2019-03-11,INTC,52.12466812,18963000
2019-03-12,INTC,52.33961487,20782100
2019-03-13,INTC,53.12123871,25522300
2019-03-14,INTC,52.21259689,26647100
2019-03-15,INTC,53.08215714,46512500
2019-03-18,INTC,52.85744095,16274000
2019-03-19,INTC,52.92583084,18274800
2019-03-20,INTC,52.58387375,24325300
